festival.id,fest.name,fest.label,event,event.year,event.month,event.date,event.country,unique.id,title.mixed,fest.count,fest.run.month,fest.regions.ocean,fest.regions.mena,fest.regions.africa,fest.regions.asia,fest.regions.na,fest.regions.eu,fest.regions.la,fest.country.n,only.fest,thr,digital,tv,dvd.br,imdb.id,gender.team
fest.lib.id.survey.na526,palm springs international film festival,palm springs international,palm springs international film festival,2011,1,12,United States,frnew171,out for the long run,3,9,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1730320,male only
fest.lib.id665,frameline film festival,frameline,frameline film festival,2011,6,25,United States,frnew171,out for the long run,3,9,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1730320,male only
fest.lib.id7034,tallgrass film festival,tallgrass,tallgrass film festival,2011,10,21,United States,frnew171,out for the long run,3,9,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1730320,male only
fest.lib.id1272,newport beach film festival,newport beach,newport beach international film festival,2011,4,NA,United States,frnew172,out of bounds,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1808371,male only
fest.lib.id1167,mix copenhagen lesbian gay bi trans film festival,mix copenhagen lesbian gay bi trans,mix copenhagen,2011,10,23,Denmark,frnew175,poker face,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,tt1833061,female only
fest.lib.id665,frameline film festival,frameline,frameline film festival,2011,6,20,United States,frnew176,private romeo,5,12,0,0,0,0,1,0,0,4,0,1,0,0,1,tt1500512,male only
fest.lib.id1342,outfest los angeles lgbtq film festival,outfest los angeles lgbtq,los angeles outfest gay and lesbian film festival) (premiere,2011,7,15,United States,frnew176,private romeo,5,12,0,0,0,0,1,0,0,4,0,1,0,0,1,tt1500512,male only
id238,paris gay and lesbian film festival,paris gay and lesbian,paris gay and lesbian film festival,2011,10,8,France,frnew176,private romeo,5,12,0,0,0,0,0,1,0,4,0,1,0,0,1,tt1500512,male only
fest.lib.id.na9,american film festival,american,american film festival,2011,11,16,Poland,frnew176,private romeo,5,12,0,0,0,0,0,1,0,4,0,1,0,0,1,tt1500512,male only
fest.lib.id1374,peace and love film festival,peace and love,peace & love film festival,2012,6,24,Sweden,frnew176,private romeo,5,12,0,0,0,0,0,1,0,4,0,1,0,0,1,tt1500512,male only
fest.lib.id1882,zinegoak,zinegoak,zinegoak,2011,1,NA,Spain,frnew179,recessive,5,7,0,0,0,0,0,1,0,2,0,0,0,0,0,tt1693868,male only
fest.lib.id238,boston lgbt film festival,boston lgbt,boston lgbt film festival,2011,5,NA,United States,frnew179,recessive,5,7,0,0,0,0,1,0,0,2,0,0,0,0,0,tt1693868,male only
fest.lib.id665,frameline film festival,frameline,frameline festival: the san francisco gay and lesbian film festival,2011,6,NA,United States,frnew179,recessive,5,7,0,0,0,0,1,0,0,2,0,0,0,0,0,tt1693868,male only
fest.lib.id1342,outfest los angeles lgbtq film festival,outfest los angeles lgbtq,outfest film festival: the los angeles gay and lesbian film festival,2011,7,NA,United States,frnew179,recessive,5,7,0,0,0,0,1,0,0,2,0,0,0,0,0,tt1693868,male only
fest.lib.id1286,north carolina gay and lesbian film festival,north carolina gay and lesbian,north carolina gay and lesbian film festival,2011,8,NA,United States,frnew179,recessive,5,7,0,0,0,0,1,0,0,2,0,0,0,0,0,tt1693868,male only
id238,paris gay and lesbian film festival,paris gay and lesbian,paris gay and lesbian film festival,2011,10,9,France,frnew18,tough girls don't dream,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,tt1804546,at least one unknown name
fest.lib.id665,frameline film festival,frameline,frameline film festival,2011,6,19,United States,frnew180,recipe for love,2,28,0,0,0,0,1,0,0,2,1,0,0,0,0,tt1925495,male only
fest.lib.id.na191,filmfest homochrom premiere,filmfest homochrom premiere,filmfest homochrom,2013,10,17,Germany,frnew180,recipe for love,2,28,0,0,0,0,0,1,0,2,1,0,0,0,0,tt1925495,male only
fest.lib.id.ch859,inside out ottawa lgbt film festival,inside out ottawa lgbt,inside/out festival,2011,5,26,Canada,frnew181,renée,4,5,0,0,0,0,1,0,0,3,0,0,0,0,0,tt1869648,male only
fest.lib.id665,frameline film festival,frameline,frameline film festival,2011,6,19,United States,frnew181,renée,4,5,0,0,0,0,1,0,0,3,0,0,0,0,0,tt1869648,male only
fest.lib.id.na333,new fest,new fest,newfest lgbt film festival,2011,7,23,United States,frnew181,renée,4,5,0,0,0,0,1,0,0,3,0,0,0,0,0,tt1869648,male only
fest.lib.id1167,mix copenhagen lesbian gay bi trans film festival,mix copenhagen lesbian gay bi trans,mix copenhagen,2011,10,23,Denmark,frnew181,renée,4,5,0,0,0,0,0,1,0,3,0,0,0,0,0,tt1869648,male only
fest.lib.id665,frameline film festival,frameline,frameline san francisco international lgbt film festival,2011,6,23,United States,frnew182,"rescue, the",1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1860340,male only
fest.lib.id1167,mix copenhagen lesbian gay bi trans film festival,mix copenhagen lesbian gay bi trans,mix copenhagen,2012,10,21,Denmark,frnew184,revolution,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,tt1797479,male only
id238,paris gay and lesbian film festival,paris gay and lesbian,paris gay and lesbian film festival,2010,11,18,France,frnew185,roommates,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,tt1794939,female only
fest.lib.id665,frameline film festival,frameline,san francisco international lgbt film festival,2011,6,19,United States,frnew186,"running in heels: the glendon ""anna conda"" hyde story",1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,tt2217474,at least one unknown name
fest.lib.id365,cleveland international film festival,cleveland international,cleveland film festival,2011,4,1,United States,frnew187,same difference,3,23,0,0,0,0,1,0,0,2,1,0,0,0,0,tt1919050,female only
fest.lib.id1853,women make waves film festival,women make waves,women make waves film festival,2012,10,17,Taiwan,frnew187,same difference,3,23,0,0,0,1,0,0,0,2,1,0,0,0,0,tt1919050,female only
fest.lib.id7780,fargo film festival,fargo,fargo film festival,2013,3,7,United States,frnew187,same difference,3,23,0,0,0,0,1,0,0,2,1,0,0,0,0,tt1919050,female only
imdbady00485,dungog film festival,dungog,dungog film festival,2010,5,29,Australia,frnew188,"she loves me, she loves me not",2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,tt1663672,female only
fest.lib.id4682,"st. kilda film festival, palm springs showcase","st. kilda , palm springs showcase",st kilda short film festival,2010,5,29,Australia,frnew188,"she loves me, she loves me not",2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,tt1663672,female only
fest.lib.id7771,wisconsin film festival,wisconsin,wisconsin film festival,2011,4,1,United States,frnew189,shut up little man! an audio misadventure,7,7,0,0,0,0,1,0,0,4,0,0,0,0,0,tt1766085,male only
fest.lib.id1254,new directors new films,new directors new films,new directors/new films,2011,4,2,United States,frnew189,shut up little man! an audio misadventure,7,7,0,0,0,0,1,0,0,4,0,0,0,0,0,tt1766085,male only
fest.lib.id5839,calgary underground film festival,calgary underground,calgary underground film festival,2011,4,15,Canada,frnew189,shut up little man! an audio misadventure,7,7,0,0,0,0,1,0,0,4,0,0,0,0,0,tt1766085,male only
fest.lib.id665,frameline film festival,frameline,frameline film festival,2011,6,22,United States,frnew189,shut up little man! an audio misadventure,7,7,0,0,0,0,1,0,0,4,0,0,0,0,0,tt1766085,male only
fest.lib.id1258,new horizons international film festival,new horizons international,new horizons film festival,2011,7,23,Poland,frnew189,shut up little man! an audio misadventure,7,7,0,0,0,0,0,1,0,4,0,0,0,0,0,tt1766085,male only
fest.lib.id7034,tallgrass film festival,tallgrass,tallgrass film festival,2011,10,21,United States,frnew189,shut up little man! an audio misadventure,7,7,0,0,0,0,1,0,0,4,0,0,0,0,0,tt1766085,male only
fest.lib.id1039,leedsfilmfest,leedsfilmfest,leeds international film festival,2011,11,14,United Kingdom,frnew189,shut up little man! an audio misadventure,7,7,0,0,0,0,0,1,0,4,0,0,0,0,0,tt1766085,male only
fest.lib.id665,frameline film festival,frameline,frameline film festival,2011,6,18,United States,frnew19,madame x,4,10,0,0,0,0,1,0,0,4,0,0,0,0,0,tt1754163,at least one unknown name
